word,meaning,part_of_speech,frequency
any,任何的；任何,adjective,109
good,善行；好处；好的；优良的,noun,110
woman,女人；妇女；女用的；女性的,noun,111
through,穿越；从头至尾；经过；穿过,adverb,112
life,生活；生命,noun,114
child,孩子；产物,noun,115
work,工作；劳动；做；运转,noun,117
down,向下的；下；下去；往下,adjective,118
may,五月；愿能；可以,noun,119
should,应该；将要,verb,121
call,呼叫；访问；召集；打电话,noun,122
world,世界；地球,noun,123
over,结束；越过；在...之上；遍于...之上,adverb,124
school,学校；鱼群；教育；训练,noun,125
still,蒸馏室；寂静；蒸馏；(使)平静,noun,126
try,尝试；试验；试；考验,noun,127
last,最后的；末尾的；持续；支持,adjective,130
ask,问；要求；邀请；需要,verb,131
need,需要；必须；必需；贫困,noun,132
too,也；非常,adverb,133
feel,感觉；觉得；有知觉；摸索,verb,134
three,三；三个,noun,135
state,州；状态；国家的；正式的,noun,137
never,从不；决不,adverb,138
become,变成；变得；适合,verb,139
high,高度；高处；高的；高级的,noun,141
really,实际上；真实地,adverb,143
most,最多；最大；大多数的；几乎全部的,noun,144
another,另外的；再一的；又一个；另一个,adjective,145
much,大量；许多；很多的；重要的,noun,146
family,家庭；家人；家庭的,noun,147
own,自己的；嫡亲的；同胞的；拥有,noun,148
leave,许可；告别；离开；剩下,noun,150
put,放；摆；出发；航行,verb,151
old,以前；往昔；老的；旧的,noun,152
while,一会儿；(一段)时间；当...的时候；虽然,noun,153
mean,低劣的；卑贱的；意谓；想要,adjective,154
keep,生计；维持；保持；保存,noun,156
student,学生；研究者,noun,157
why,为什么；原因；理由,adverb,158
let,让；假设；出租；被承包,verb,159
great,大的；非常的；顺利地；得意地,adjective,160
same,相同的；同样的；相同的人(或事物)；同样地,adjective,161
big,大的；重要的；大量地,adjective,162
group,团体；组；聚合；成群,noun,163
begin,开始,verb,164
seem,象是；似乎,verb,165
country,国家；乡村；乡下的；农村的,noun,166
help,帮忙；帮助者；帮助；接济,noun,167
talk,谈话；交谈；讲话；演讲,noun,168
where,在哪里；哪里；地点,adverb,169
turn,转弯；转动；使旋转；使转向,noun,170
problem,问题；难题；成问题的；难处理的,noun,171
every,每一；所有的,adjective,172
start,惊起；出发；开始；启动,noun,173
hand,手；爪；交给；支持,noun,174
might,力量；权力；可能；也许,noun,175
american,美国人；美国的；美洲的,noun,176
show,显示；表现；表示；展现,noun,177
part,部分；局部；分开；分离,noun,178
place,地方；地点；放置；寄予,noun,181
such,如此的；这样的,adjective,183
again,再一次；又,adverb,184
few,很少的；不多的；少数,adjective,185
case,情形；情况；装箱；包盖,noun,186
week,星期；周,noun,188
company,公司；友伴；陪伴；交往,noun,189
system,系统；体系,noun,191
each,每个；每一；个人；各自,adjective,192
right,权利；右边；正确的；对的,noun,193
program,节目；节目单；规划；拟...计划,noun,194
hear,听到；倾听；听见；听,verb,195
question,问题；询问；审问；怀疑,noun,197
play,游戏；游玩；玩；假装,noun,200
government,政府；内阁,noun,201
run,跑；赛跑；奔跑；跑步,noun,202
small,小的；少的；些微地；狭小部分,adjective,203
number,数；数字；计算；共计,noun,204
off,关着的；不再生效的；走开；掉,adjective,205
always,总是；始终,adverb,206
move,移动；迁居；开动；感动,noun,207
night,夜；夜晚,noun,209
live,活的；生动的；活；生存,adjective,210
point,点；小数点；弄尖；强调,noun,211
believe,相信,verb,212
hold,把握；把持力；保存；握住,noun,213
today,今天；当今,noun,214
bring,带来；产生；生产,verb,215
happen,发生；恰巧,verb,216
next,下一个；下一个的；其次的；然后,noun,217
large,大的；大量的；大大地；夸大地,adjective,220
million,百万；无数,noun,222
must,必须；未发酵葡萄汁,noun,223
home,家；避难所；家庭的；国内的,noun,224
water,水；雨水；给...浇水；供以水,noun,226
room,房间；空位；住宿；居住,noun,227
write,书写；著述；写；写字,verb,228
mother,母亲；修女院长；产生；照看,noun,229
area,区域；面积,noun,230
national,国家的；国立的,adjective,231
money,金钱；一笔款,noun,232
story,故事；小说,noun,233
young,年轻的；无经验的；青年们；幼小动物,adjective,234
fact,事实；真实性,noun,235
month,月,noun,236
different,不同的,adjective,237
lot,运气；签；划分；抽签,noun,238
study,学习；研究；读书；考虑,noun,240
book,书；书籍；登记；预订,noun,241
eye,眼睛；视力；看；注视,noun,242
job,工作；零活；做零工；打杂,noun,243
word,话；消息；用言辞表达,noun,244
though,然而；可是；虽然；纵然,adverb,245
business,生意；事情,noun,246
four,四；四个,noun,247
issue,发行；问题；流出；造成...结果,noun,248
side,旁边；侧；旁的；侧的,noun,249
kind,种类；性质；亲切的；仁慈的,noun,250
head,头；头脑；为首；朝向,noun,251
far,远的；久远的；甚远地；很,adjective,252
black,黑色；黑颜料；黑色的,noun,253
long,长的；长久的；渴望；热望,adjective,254
both,两者的；两者都；两者,adjective,255
little,一点点；少许；小的；很少的,noun,256
house,房子；住宅；给...房子住；收藏,noun,257
yes,是；同意,adverb,258
provide,提供；供应；作准备；抚养,verb,262
service,服务；贡献；保养；维修,noun,263
friend,朋友；支持者,noun,265
important,重要的；有地位的,adjective,266
father,父亲；祖先；当...的父亲；保护,noun,267
sit,坐；就座；使就座；骑,verb,268
away,离去,adverb,269
power,力；体力；使...有力量；供以动力,noun,271
hour,小时；钟头,noun,272
game,比赛；玩耍；赌博；勇敢的,noun,273
often,时常；常常,adverb,274
yet,还；尚；然而,adverb,275
line,列；线；排成一行；顺...排列,noun,276
political,政治的；政治上的,adjective,277
end,结束；终点；终结；终止,noun,278
ever,曾经；究竟,adverb,280
stand,站立；站住；站；立,noun,281
bad,坏的；坏；坏地,adjective,282
lose,遗失；损失；受损失；失败,verb,283
however,然而；无论如何；可是,adverb,284
member,成员；会员,noun,285
pay,薪资；付款；支付；付清,noun,286
law,法律；法则；起诉,noun,287
meet,会；集会；适宜的；合适的,noun,288
car,汽车；客车,noun,289
city,城市；市,noun,290
almost,几乎；差不多,adverb,291
set,日落；同伙；放；安置,noun,294
later,以后；随后,adverb,295
community,社区；公众,noun,296
name,名字；名称；命名；称呼,noun,298
five,五；五个,noun,299
once,一次；曾经；一旦；一经,adverb,300
white,白色；洁白；白色的；纯洁的,noun,301
least,最少；最小；最少的；最小的,noun,302
president,总统；总裁,noun,303
learn,学习；认识到,verb,304
real,真的；真实的；实数；现实,adjective,305
change,变化；找回的零钱；改变；更换,noun,306
team,队；组；把马(牛)套在同一辆车上；把...编成一组,noun,307
minute,分；分钟；记录；摘录,noun,308
best,最好的；最好地；最好的人,adjective,309
several,几个的；一些的；几个,adjective,310
idea,主意；办法,noun,311
kid,小山羊；小山羊肉；小山羊皮制的；哄骗,noun,312
body,身体；人；赋以形体,noun,313
information,消息；知识,noun,314
nothing,无；不关紧要之事；毫不；决不,noun,315
ago,以前,adverb,316
lead,铅；铅条；引导；带领,noun,318
social,社会的；群居的；联欢会,adjective,319
understand,理解；了解；懂得；认为,verb,320
watch,观察；手表；看；注视,noun,323
together,一起；共同,adverb,324
follow,跟随；沿行；接着；追随,verb,325
parent,父母；父母亲,noun,327
stop,停止；车站；被塞住；塞住,noun,329
face,脸；面容；面对；朝,noun,330
public,公众；民众；公众的；公共的,noun,333
already,已经；早已,adverb,334
speak,说；说话；讲；说出,verb,335
read,读；阅读；有学问的；读取,verb,337
level,水平；水准；同高的；平坦的,noun,338
allow,允许；同意给予；容许；猜想,verb,339
add,增加；添加；做加法；积累而成,verb,340
office,办公室；部,noun,341
spend,花费；浪费；用尽,verb,342
door,门,noun,343
health,健康；卫生,noun,344
person,人；人身,noun,345
art,艺术；人文科学,noun,346
sure,确信；必然的；当然；确实地,adjective,347
war,战争；战争状态；进行战争；作战,noun,349
history,历史；过去,noun,350
party,宴会；党；举办聚会,noun,351
within,内部；里头；在内部；在内心里,noun,352
grow,种植；使长满；生长；变成,verb,353
open,公开；户外；开着的；开放的,noun,355
morning,早晨；早上,noun,357
walk,走；散步；走路；步行,noun,358
reason,理由；原因；说服；推论,noun,359
low,低点；低价；低的；消沉的,noun,360
win,赢得；打胜；获胜；达到,verb,361
research,研究；调查,noun,362
girl,女孩；少女,noun,363
guy,家伙；支索；用支索撑住；取笑,noun,364
early,早的；早熟的；很早；初,adjective,365
food,食物；养料,noun,366
moment,片刻；瞬间,noun,369
air,空气；旋律；晾；使通风,noun,370
teacher,教师；老师,noun,371
force,力量；武力；强迫；强夺,noun,372
enough,充足；够；充足的；足够,noun,374
education,教育；训练,noun,376
remember,记得；回忆起,verb,379
foot,脚；步调；走在...上；给...换底,noun,380
second,秒；瞬间；第二的；其次的,noun,381
boy,男孩,noun,382
maybe,也许；大概；可能性,adverb,383
able,能干的；能够的,adjective,385
age,年龄；老年；变老；成熟,noun,386
policy,政策；方针,noun,388
love,爱；恋爱；爱好；爱慕,noun,390
process,程序；进行；加工；使...接受处理,noun,391
music,音乐；乐曲,noun,392
actually,事实上；竟然,adverb,396
buy,买；获得；购买；买得的东西,verb,397
probably,大概；或许,adverb,398
human,人；人类；人类的；似人类的,noun,399
wait,等待；等候；期待；延缓,noun,400
serve,可作...用；服务；服役；侍应,verb,401
market,市场；交易；在市场上交易；使上市,noun,402
die,死亡；消逝；死；骰子,verb,403
send,发送；使进入；寄信；派人,verb,404
expect,预期；盼望,verb,405
sense,感应；感觉；觉察；检测,noun,407
build,建立；建筑；构造；体格,verb,408
stay,停留；逗留；制止；延缓,noun,409
fall,落下；瀑布；倒下；来临,noun,410
nation,国家；民族,noun,412
plan,计划；方案；设计；意欲,noun,413
cut,切口；割伤；经切割的；缩减的,noun,414
college,学院；大学,noun,415
interest,兴趣；嗜好；使感兴趣；与...有关系,noun,416
death,死亡,noun,417
course,课程；路线；追；(使)跑,noun,418
behind,在后地；在...背后,adverb,421
reach,伸出；延伸；到达；达到,noun,422
local,地方性的；当地的；当地居民；本地新闻,adjective,423
six,六；六个,noun,424
kill,杀；杀戮；破坏；消灭,noun,425
remain,保持；逗留,verb,426
effect,结果；影响；实行；引起,noun,427
yeah,(非正式)是；是的,adverb,429
suggest,提议；建议,verb,430
class,班级；阶级；分类,noun,431
control,控制；管理；操纵；抑制,noun,432
raise,上升；高地；升起；举起,noun,433
care,小心；照料；关心；介意,noun,434
perhaps,也许；大概,adverb,435
late,迟的；晚的；很晚；很迟,adjective,437
hard,坚硬的；硬的；坚硬地；努力地,adjective,438
field,领域；田地；使...晒在场上；使上场,noun,439
else,别的；其他的；另外；否则,adjective,440
pass,经过；要隘；越过；通过,noun,441
former,从前的；前者的；起形成作用的人(或物)；模型,adjective,442
sell,卖；背叛；销售；推销术,verb,443
major,主修课；成年人；主要的；较多的,noun,444
sometimes,有时；时常,adverb,445
require,需要；命令,verb,446
along,平行地；向前；沿着,adverb,447
development,发展,noun,448
report,报告；报道；汇报；转述,noun,450
role,角色；职责,noun,451
better,较好的；比较好,adjective,452
economic,经济上的；实用的,adjective,453
rate,比率；率；估价；认为,noun,457
strong,强壮的；坚固的；强劲地；有力地,adjective,458
heart,心；心脏；鼓励,noun,460
drug,药；麻药；吸毒；使服麻醉药,noun,461
leader,领导者；社论,noun,463
light,光；光亮；轻的；少量的,noun,464
voice,声音；嗓音；表达；吐露,noun,465
wife,妻子；太太,noun,466
whole,全部；全体；所有的；完整的,noun,467
police,警察；警察当局；维持治安；管辖,noun,468
mind,思想；愿望；介意；注意,noun,469
finally,最后；终于,adverb,470
pull,拉；拖；拔；有吸引力,verb,471
return,回来；返回；返回的；回程的,noun,472
free,自由的；享受政治权力的；释放；解放,adjective,473
military,军队；军事的；军人的,noun,474
price,价格；代价；定...的价格,noun,475
less,较少；较小；少的；小的,noun,477
according,相符的；根据...而定的；相应地,adjective,478
decision,决定；决心,noun,479
son,儿子；女婿,noun,481
hope,希望；信心；期望；信赖,noun,482
view,视野；风景；看；考虑,noun,485
relationship,关系；关联,noun,486
carry,进位；射程；携带；运送,noun,487
town,城镇；市,noun,488
road,路；道路,noun,489
drive,驾车；快车道；开车；驱使,noun,490
arm,手臂；袖子；武装；装备,noun,491
true,真实的；正确的；真实；准确,adjective,492
federal,联邦的；联合的,adjective,493
break,休息；中断；打破；弄破,noun,494
difference,不同；差异,noun,496
thank,谢意；感谢；谢谢,noun,498
value,价值；价格；评价；估价,noun,499
international,国际的；国别设定,adjective,500
building,建筑物；建筑,noun,501
action,行动；活动；对...起诉,noun,502
full,全部；完整；充满的；完全的,noun,503
model,模型；模范；模范的；作模型用的,noun,504
join,参加；结合；连接；加入,verb,505
season,季节；时节；给...调味；使成熟,noun,506
society,社会；社交界,noun,507
tax,税；税款；课以税；使负重荷,noun,509
director,主管；导演,noun,510
position,位置；地位；安置；决定...的位置,noun,512
player,竞赛者；上场队员,noun,513
agree,同意；赞成；承认；认定,verb,514
especially,尤其；特别,adverb,515
record,记录；履历；记载；标明,noun,516
pick,精选；选择；摘；掘,noun,517
wear,穿着；戴；留(须、发等)；呈现,noun,518
paper,纸；文件；用纸糊；贴壁纸于,noun,519
special,专辑；专车；特别的；专门的,noun,520
space,位置；空间；隔开；分隔,noun,521
ground,土地；战场；土地的；地面上的,noun,522
form,形状；形体；形成；排列,noun,523
event,事件；结果,noun,525
official,官员；公务员；公务的；官方的,noun,526
matter,事件；物质；有关系,noun,528
center,中心；中心点；中央的；位在正中的,noun,530
couple,对；夫妇；使成双；连接,noun,531
site,位置；场所；给...择址,noun,532
project,计划；设计；投掷；发射,noun,534
hit,打击；打；碰撞；打中,noun,535
base,底部；垒；以...作基础；卑鄙的,noun,536
activity,活动；行动,noun,537
star,星；恒星；以星状物装饰；用星号标,noun,538
table,桌子；餐桌；搁置；嵌合,noun,539
court,法院；庭院；献殷勤；追求,noun,541
produce,生产品；物产；产生；生产,noun,542
eat,吃；腐蚀,verb,543
teach,教；讲授；教书；教学,verb,545
oil,油；石油；涂油于；使融化成油状,noun,546
half,一半；半场；一半的；不完全的,noun,547
situation,情形；境遇,noun,548
easy,容易的；缓缓的；容易地；慢慢地,adjective,549
cost,代价；价值；花费；使失去,noun,550
industry,勤劳；工业,noun,551
figure,数字；价格；描绘；表示,noun,552
street,街道；马路；街道的,noun,554
image,影像；肖像；作...的像；反映,noun,555
phone,电话；受话器；打电话给；打电话,noun,557
either,(两者之中)任一的；(两者之中)各一的；(两者之中)任一,adjective,558
cover,盖子；封面；覆盖；掩饰,noun,560
quite,相当；完全,adverb,561
picture,图画；照片；画；拍摄,noun,562
clear,清楚的；明确的；清晰地；澄清,adjective,563
piece,块；片；修补；修理,noun,565
land,陆地；地面；登陆；登岸,noun,566
recent,最近的；近代的,adjective,567
product,产品；结果,noun,569
doctor,医生；博士；授以博士学位；诊断,noun,570
wall,墙；墙壁；墙的；给...建墙,noun,571
worker,工人；劳动者,noun,573
news,新闻；消息,noun,574
test,测试；试验；化验；接受测验,noun,575
movie,电影,noun,576
certain,确定的；某一个的,adjective,577
north,北方；北；北的；北方的,noun,578
personal,私人的；涉及隐私的,adjective,580
simply,简单地；只是,adverb,583
third,第三；三分之一,noun,584
technology,技术；工业技术,noun,585
catch,捕捉；陷阱；赶上；感染,noun,586
step,步骤；步；踏；以步测量,noun,587
baby,婴孩,noun,588
computer,电脑；电子计算机,noun,589
type,类型；样式；打字；作为代表,noun,590
attention,注意；注意力,noun,591
draw,拉；拖；拖拉；挨近,verb,592
film,软片；薄膜；覆以薄膜；拍摄,noun,593
republican,共和主义者；共和党员；共和政体的；共和国的,noun,594
organization,组织；结构,noun,595
tree,树；木料；把...赶上树,noun,596
source,来源；水源,noun,597
red,红的；红色的；红色；红颜料,adjective,598
nearly,几乎；密切地,adverb,599
hair,头发；毛发,noun,602
century,世纪；百年,noun,605
evidence,根据；证据,noun,606
window,窗户；窗子；给...开窗,noun,607
difficult,困难的,adjective,608
listen,听；倾听,verb,609
soon,不久；早,adverb,610
culture,文化；修养；耕种；培养,noun,611
billion,十亿；十亿个,noun,612
chance,机会；意外；偶然发生；冒险,noun,613
brother,兄弟,noun,614
period,时期；节段；当时特有的；过去某段时期的,noun,617
summer,夏季；全盛时期；避暑；过夏天,noun,619
hundred,百；百个东西；百个；一百的,noun,621
available,可利用的；可获得的,adjective,622
plant,植物；作物；种植；栽培,noun,623
likely,有可能的；合适的；或许；可能,adjective,624
opportunity,机会；时机,noun,625
term,术语；专有名词；称；呼,noun,626
short,短的；近的；简短地；突然,adjective,627
letter,信；字母；写字母于；在...上刻字母,noun,628
condition,情况；条件；使健康；以...为条件,noun,629
choice,选择；精选品；精选的；挑三拣四的,noun,630
single,单身的；单程的；一个；单打,adjective,632
rule,规则；统治；规定；管理,noun,633
daughter,女儿；女儿的,noun,634
administration,行政；管理,noun,635
south,南方；南；南的；向南的,noun,636
husband,丈夫；管理人；节俭；使成丈夫,noun,637
congress,国会；会议,noun,638
floor,地板；楼层；铺地板；打倒,noun,639
campaign,战役；运动；参加运动；作战,noun,640
material,材料；物资；物质的；肉体的,noun,641
population,人口；人口数,noun,642
economy,经济；理财,noun,645
medical,医生；体格检查；医学的；内科的,noun,646
hospital,医院,noun,647
church,教堂；礼拜；使人接受宗教仪式；教堂的,noun,648
close,结束；完结；靠近的；亲近的,noun,649
risk,冒险；危险；冒...的危险；冒险干,noun,650
thousand,千；成千的；许多的；许许多多,noun,651
current,涌流；趋势；流通的；现在的,noun,652
fire,火；炉火；点燃；烧制,noun,653
wrong,错误的；不正当的；错误地,adjective,655
involve,包括；使陷于,verb,656
defense,防卫；防卫物,noun,657
behavior,行为；举止,noun,658
security,安全；安全性,noun,661
bank,银行；堤,noun,663
certainly,确定地,adverb,664
west,西方；西部；西方的；向西的,noun,665
sport,运动；游戏；运动的；户外穿戴的,noun,666
board,木板；甲板；乘船；供膳食,noun,667
seek,寻求；寻找；搜索,verb,668
subject,科目；主题；服从的；易患...的,noun,670
officer,军官；主管；指挥,noun,671
private,私人的；秘密的；士兵；隐士,adjective,672
rest,休息；睡眠；睡；长眠,noun,673
deal,交易；协定；处理；应付,noun,674
performance,施行；工作情况,noun,675
fight,打架；争吵；对抗,noun,676
throw,投；掷；丢；抛,verb,677
top,顶部；顶端；最高的；顶上的,noun,678
quickly,很快地,adverb,679
past,过去；昔时；过去的；结束的,noun,680
goal,目标；终点；攻门；射门得分,noun,681
bed,床；睡眠处；提供宿处；栽种,noun,683
order,次序；规则；命令；定货,noun,684
author,作家；作家的著作,noun,685
fill,装满；填充；充满；变得沉重,verb,686
represent,表现；表示；提出异议,verb,687
foreign,外国的；外交的,adjective,689
drop,滴；微量；放下；掉下,noun,690
blood,血；血统；使出血；用血涂,noun,692
agency,代理机构；经销商,noun,694
push,推；推动；使伸出；推行,noun,695
nature,自然；大自然,noun,696
color,颜色；面色；把...涂上颜色；粉饰,noun,697
recently,最近,adverb,699
store,商店；贮藏；储存；供给,noun,700
sound,声音；语音；健全的；可靠的,noun,702
note,笔记；记录；注解；注意,noun,703
fine,罚款；罚金；好的；晴朗的,noun,704
near,近的；近亲的；接近；亲近,adjective,706
movement,运动；动作,noun,707
page,页；记录；标明...的页数；翻...的书页,noun,708
enter,进入；参加；进去,verb,709
share,部分；参与；均分；分担,noun,711
poor,贫穷的；贫乏的,adjective,713
natural,白痴；自然的；自然界的,noun,715
race,种族；人种；赛跑；竞赛,noun,716
concern,关心；忧虑；与...有关；使担心,noun,717
series,串联；序列,noun,718
significant,重要的；有效的,adjective,719
hot,热的；热心的；热；紧迫地,adjective,721
usually,通常；大抵,adverb,724
response,反应；回答,noun,725
dead,死的；不活泼的；死者；完全地,adjective,726
rise,上升；增加；升起；起身,noun,727
animal,动物,noun,728
factor,因素；因数,noun,729
decade,十年；十,noun,730
article,文章；冠词,noun,731
shoot,射击；狩猎；射中；损毁,noun,732
east,东方；东；东方的；向东的,noun,733
seven,七；七个,noun,734
save,救球；解救；挽救；节省,noun,735
artist,艺术家；画家,noun,736
scene,场；情景,noun,738
eight,八；八个,noun,739
stock,树干；祖先；存货的；常备的,noun,740
despite,轻视；憎恨；虽然；尽管,noun,742
central,中央的；重要的,adjective,743
thus,如此；因此,adverb,744
treatment,治疗；待遇,noun,745
happy,快乐的；幸福的,adjective,747
exactly,确切地；精确地,adverb,748
lie,谎言；假象；躺着；说谎,noun,751
size,大小；尺寸；上浆；依大小排列,noun,752
dog,狗；坏蛋；跟踪；尾随,noun,753
fund,基金；资金；提供资金；积累,noun,754
serious,严肃的；认真的,adjective,755
occur,发生；被想到,verb,756
media,媒体,noun,757
ready,预备好的状态；现款；准备好的；备用的,noun,758
sign,符号；招牌；签名；打手势表达,noun,759
thought,想法；思想；think的过去式和过去分词,noun,760
list,目录；名单；列出；列于表上,noun,761
individual,人；个人；个别的；个人的,noun,762
simple,简单的；普通的；出身低微者；傻子,adjective,763
quality,品质；特性；优质的,noun,764
pressure,压；榨；迫使；使增压,noun,765
accept,接受；承认；同意,verb,766
answer,答案；回答；反驳；适应,noun,767
resource,资源；财力,noun,769
identify,识别；认为...等同于；一致；认同,verb,770
left,左边的；左倾的；在左面；左,adjective,771
meeting,会议；会面,noun,772
determine,决定；决心,verb,773
disease,疾病；弊病,noun,775
success,成功；成就,noun,777
recognize,认出；认可；承认；具结,verb,779
cup,杯子；茶杯；使成杯状；为...拔火罐,noun,780
particularly,特别；格外,adverb,781
amount,总数；总额；总计；等同,noun,782
staff,全体人员；工作班子；职员的；雇员的,noun,784
indicate,显示；象征,verb,785
character,个性；字符,noun,786
growth,生长；栽培,noun,787
loss,损失；遗失,noun,788
degree,程度；度数,noun,789
attack,攻击；抨击；动手干,noun,791
region,区域；地带,noun,793
television,电视,noun,794
box,盒子；箱；装...入盒中；装箱,noun,795
training,训练；培养,noun,796
pretty,漂亮的；优美的；相当；颇,adjective,797
trade,贸易；商业；进行交易；做买卖,noun,800
election,选举；当选,noun,801
physical,身体的；物质的；体格检查,adjective,802
lay,放置；产；下蛋；打赌,verb,803
general,一般；将军；全面的；大体的,noun,804
feeling,摸；触觉；有同情心的；有感觉的,noun,805
standard,标准；规格；标准的；合规格的,noun,806
message,消息；通讯；通知；通报,noun,807
fail,失败；缺乏；忘记；使...失望,verb,808
outside,外面；外表；外面的；外表的,noun,809
arrive,到达；抵达,verb,810
analysis,分析,noun,811
sex,性别；性欲；区别...的性别；引起...的性欲,noun,814
forward,向前的；早的；促进...的生长；转寄,adjective,815
lawyer,律师,noun,816
present,现在；礼品；现在的；出席的,noun,817
section,区段；部分；把...分段；把...切片,noun,818
environmental,周围的；环境的,adjective,819
glass,玻璃；玻璃杯；装玻璃于；反射,noun,820
skill,技术；技巧,noun,821
sister,姐妹；姐；姐妹般对待,noun,823
professor,教授,noun,825
operation,操作；动作,noun,826
financial,财政的；金融的,adjective,827
crime,犯罪；罪行,noun,828
stage,阶段；舞台；上演；表演,noun,829
ok,好；不错；可以；批准,adjective,830
authority,权力；当权者,noun,832
miss,失误；避免；未得到；未达到,noun,833
design,设计；图样；计划,noun,834
sort,种类；方式；分类；排序,noun,835
act,行动；行为；表演；假装,noun,837
ten,十；十个,noun,838
gun,枪,noun,840
station,车站；站；安置；配置,noun,841
blue,蓝色；蓝色的；下流的；染成蓝色,noun,842
strategy,战略；策略,noun,844
clearly,清楚地,adverb,846
discuss,讨论；论述,verb,847
indeed,的确；实在,adverb,848
truth,事实；实情,noun,850
song,歌；曲,noun,851
democratic,民主的,adjective,853
check,检查；支票；阻止；核对,noun,854
leg,腿；假腿；走；跑,noun,856
dark,黑暗；夜；黑暗的；暗的,noun,857
various,不同的；各种的,adjective,859
rather,宁可；稍微,adverb,860
laugh,笑；笑声；大笑；以笑表示,noun,861
guess,猜测；臆测,noun,862
executive,执行部门；执行委员会；执行的；善于执行的,noun,863
prove,证明；查验；证明是,verb,866
hang,悬挂；诀窍；附着；装饰,noun,867
entire,整个；全部；全体的；完全的,noun,868
rock,岩石；岩礁；摇摆；摇动,noun,869
forget,忘记；忽略,verb,872
claim,要求；要求权；认领；主张,noun,874
remove,移动；调动；迁移；搬家,verb,876
manager,经理；管理员,noun,877
enjoy,享受；喜欢,verb,881
network,网络；广播网,noun,882
legal,法律的；法定的,adjective,883
religious,宗教性的；虔诚的；修道士；出家人,adjective,884
cold,感冒；寒冷；寒冷的；冷淡的,noun,885
final,期末考试；结局；最后的；终极的,noun,887
main,主要部分；干线；主要的；重要的,noun,888
science,科学；学科,noun,889
green,绿色；绿色颜料；绿色的；未成熟的,noun,890
card,卡片；纸牌；备置卡片；记于卡片上,noun,892
seat,座；座位；使坐下；使就座,noun,894
cell,单元；细胞,noun,895
establish,建立；确立；移植生长,verb,896
nice,美好的；和蔼的,adjective,897
trial,审判；试验；审讯的；试验性的,noun,898
expert,专家；行家；老练的；内行的,noun,899
spring,春天；弹簧；春天的；跳,noun,901
firm,公司；商号；坚定的；坚强的,noun,902
democrat,民主人士；民主主义者,noun,903
radio,无线电；收音机；用无线电发送,noun,904
visit,拜访；访问；参观；视察,noun,905
management,经营；支配,noun,906
imagine,想像；设想；想像起来,verb,909
tonight,今晚；今夜,noun,910
huge,极大的；巨大的,adjective,911
ball,球；舞会；捏成球形,noun,912
finish,完成；结束；用完；毁掉,noun,916
theory,理论；学说,noun,918
impact,冲击；冲突；挤入；撞击,noun,919
respond,以...回答；回答；响应,verb,920
statement,陈述；指令,noun,921
maintain,维持；维修,verb,922
charge,指控；费用；控诉；加罪于,noun,923
popular,通俗的；流行的,adjective,924
traditional,传统的；惯例的,adjective,925
reveal,露出；显示；窗侧；门侧,verb,927
direction,方向；指导,noun,928
weapon,武器；兵器；武装,noun,929
employee,职员；员工,noun,930
contain,包含；容纳；自制,verb,931
cultural,文化的；教养的,adjective,932
peace,和平；和约；安静下来；不作声,noun,933
